hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
"[64, 32]",32,relu,3.4e-05,0.7005,0.7274,0.4913,13.2
"[32, 16]",16,tanh,0.000796,0.6754,0.711,0.4626,25.03
"[64, 32]",32,tanh,0.000881,0.6768,0.7106,0.4742,16.38
"[64, 32]",8,tanh,0.029947,0.6894,0.7209,0.4765,33.23
"[128, 64]",8,tanh,0.035844,0.6482,0.6895,0.4666,35.57
"[32, 16, 8]",4,relu,0.155911,0.6322,0.6791,0.4809,34.58
"[128, 64]",4,relu,0.122537,0.6281,0.6821,0.492,35.69
"[32, 16, 8]",32,relu,0.055583,0.6607,0.6971,0.4715,34.46
"[128, 64]",16,relu,0.000123,0.6858,0.7163,0.4912,21.06
"[128, 64]",16,tanh,0.000714,0.6902,0.7213,0.4796,21.67
"[128, 64]",4,tanh,0.141095,0.6187,0.6664,0.4587,35.59
"[32, 16, 8]",32,tanh,0.044903,0.6687,0.7068,0.4919,34.68
"[128, 64]",32,relu,0.000108,0.6815,0.7106,0.48,15.61
"[32, 16, 8]",4,tanh,0.178726,0.6297,0.6806,0.4571,32.38
"[64, 32, 16]",4,relu,0.131247,0.6325,0.6819,0.4926,35.09
"[128, 64]",32,tanh,0.000589,0.681,0.7139,0.4652,24.72
"[64, 32, 16]",16,relu,0.002002,0.6915,0.7217,0.4716,36.44
"[64, 32, 16]",16,tanh,0.000998,0.6809,0.7108,0.4732,17.42
"[32, 16, 8]",8,relu,0.094643,0.6537,0.6907,0.4739,32.77
"[64, 32, 16]",4,tanh,0.13455,0.5936,0.6505,0.4801,35.64
"[128, 64, 32]",8,relu,0.020807,0.6473,0.6853,0.4607,38.45
"[64, 32, 16]",32,relu,0.003194,0.6785,0.7109,0.4649,36.69
"[32, 16, 8]",8,tanh,0.052604,0.6702,0.7048,0.4633,33.99
"[64, 32, 16]",8,relu,0.042011,0.6597,0.7016,0.4757,35.14
"[64, 32, 16]",32,tanh,0.000929,0.6804,0.7114,0.4752,24.18
"[128, 64, 32]",8,tanh,0.025096,0.6665,0.7027,0.4726,40.14
"[32, 16, 8]",16,relu,0.045741,0.6384,0.6821,0.4819,32.15
"[64, 32, 16]",8,tanh,0.039674,0.671,0.7034,0.4734,36.1
"[128, 64, 32]",16,relu,0.001321,0.6802,0.7114,0.4864,39.51
"[32, 16, 8]",16,tanh,0.057942,0.6583,0.6954,0.4595,32.94
"[128, 64, 32]",4,relu,0.131343,0.619,0.6783,0.4858,40.91
"[128, 64, 32]",16,tanh,0.001881,0.6798,0.7104,0.4862,18.71
"[128, 64, 32]",32,relu,0.000226,0.6883,0.7191,0.4721,14.55
"[128, 64, 32]",4,tanh,0.114843,0.6309,0.676,0.4475,42.14
"[128, 64, 32]",32,tanh,0.000799,0.7051,0.7307,0.485,30.14
