hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[32],32,relu,0.0,0.5914,0.6733,0.3439,138.36
[64],16,relu,1e-06,0.5737,0.6592,0.3453,113.39
[32],4,relu,1e-06,0.4208,0.5156,0.3464,111.42
[32],32,tanh,7e-06,0.5367,0.6279,0.3466,71.11
[64],16,tanh,1e-06,0.6123,0.6896,0.345,153.44
[32],4,tanh,2.3e-05,0.5977,0.6783,0.347,69.51
[64],4,relu,1e-06,0.6122,0.6895,0.3455,109.03
[128],8,relu,8e-06,0.5649,0.6519,0.3444,59.61
[32],8,relu,3e-06,0.5405,0.6313,0.3454,85.41
[64],32,relu,0.0,0.4796,0.5754,0.348,171.43
[64],4,tanh,5e-06,0.7022,0.7532,0.3441,110.57
[32],8,tanh,8e-06,0.6117,0.6892,0.3447,73.67
[128],8,tanh,6e-06,0.5891,0.6716,0.3458,127.02
[64],8,relu,5e-06,0.3795,0.469,0.3479,74.29
[64],32,tanh,2e-06,0.5535,0.6424,0.3455,153.54
[128],16,relu,1e-06,0.5411,0.6318,0.3457,191.08
[32],16,relu,2e-06,0.5124,0.6065,0.3451,85.95
[64],8,tanh,9e-06,0.6122,0.6896,0.3449,100.94
[128],4,relu,1e-06,0.7165,0.7623,0.3434,135.76
[32],16,tanh,2e-06,0.5351,0.6266,0.3468,119.15
[128],16,tanh,4e-06,0.484,0.5796,0.3484,155.23
[128],4,tanh,9e-06,0.6414,0.7113,0.3436,118.4
[128],32,relu,2e-06,0.4578,0.5563,0.3478,148.18
[128],32,tanh,1e-06,0.4699,0.5662,0.3456,301.8
"[64, 32]",16,relu,4e-06,0.5573,0.6456,0.3446,146.57
"[32, 16]",4,relu,2e-06,0.6388,0.7095,0.3462,141.19
"[32, 16]",4,tanh,8e-06,0.2766,0.334,0.3492,89.25
"[64, 32]",16,tanh,7e-06,0.594,0.6754,0.3458,138.39
"[32, 16]",8,relu,5e-06,0.5107,0.6048,0.3464,69.24
"[32, 16]",32,relu,4e-06,0.6145,0.6912,0.343,108.69
"[32, 16, 8]",4,relu,4e-06,0.6586,0.7237,0.3465,174.08
"[64, 32]",32,relu,4e-06,0.6067,0.6853,0.3449,149.15
"[32, 16]",8,tanh,5e-06,0.6127,0.6899,0.3451,78.14
"[32, 16]",32,tanh,5e-06,0.5605,0.6483,0.345,79.7
"[32, 16, 8]",4,tanh,1.4e-05,0.5637,0.6509,0.3473,87.39
"[32, 16, 8]",32,relu,9e-06,0.417,0.5112,0.3482,100.5
"[64, 32]",32,tanh,4e-06,0.7187,0.7636,0.3414,148.77
"[32, 16]",16,relu,4e-06,0.489,0.5846,0.3465,66.83
"[32, 16, 8]",8,relu,6e-06,0.3916,0.483,0.3476,110.67
"[64, 32]",4,relu,1e-06,0.6208,0.696,0.3449,186.04
"[128, 64]",4,relu,1.7e-05,0.6052,0.6842,0.3453,101.26
"[32, 16, 8]",32,tanh,6e-06,0.4587,0.5552,0.3452,117.44
"[32, 16, 8]",8,tanh,1.2e-05,0.5891,0.6716,0.3458,70.09
"[64, 32]",4,tanh,7e-06,0.5762,0.6613,0.3445,129.07
"[32, 16]",16,tanh,3e-06,0.6117,0.6892,0.3447,198.93
"[128, 64]",4,tanh,1.7e-05,0.6999,0.7517,0.3451,122.46
"[32, 16, 8]",16,relu,1.1e-05,0.555,0.6437,0.3462,74.4
"[64, 32, 16]",4,relu,5e-06,0.5661,0.6529,0.345,209.74
"[64, 32]",8,relu,3e-06,0.497,0.5921,0.3472,155.08
"[128, 64]",8,relu,3e-06,0.5102,0.6044,0.3456,91.83
