hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[32],32,relu,1e-06,0.5442,0.6509,0.464,141.52
[32],4,relu,0.003968,0.5197,0.637,0.4851,235.01
[128],8,relu,1e-06,0.547,0.6525,0.4745,201.94
[64],16,relu,1e-06,0.51,0.6195,0.4741,103.85
[32],32,tanh,1.8e-05,0.5316,0.6413,0.4858,120.86
[128],8,tanh,5.7e-05,0.5739,0.6739,0.473,107.44
[32],4,tanh,0.006456,0.5367,0.6428,0.4705,259.56
[64],16,tanh,2.1e-05,0.5438,0.6502,0.4775,141.75
[32],8,relu,1e-06,0.5332,0.6408,0.4728,99.17
[64],4,relu,0.003364,0.5292,0.6432,0.4734,267.91
[128],16,relu,2e-06,0.5431,0.6536,0.4845,125.17
[64],32,relu,1e-06,0.5707,0.6703,0.4546,172.92
[32],8,tanh,2.5e-05,0.5408,0.6524,0.4823,193.71
[64],4,tanh,0.005994,0.5068,0.6211,0.4852,269.16
[128],16,tanh,2e-05,0.5062,0.6215,0.4765,136.87
[32],16,relu,0.0,0.5083,0.6225,0.4775,136.55
[64],32,tanh,2.4e-05,0.5149,0.6341,0.4905,146.38
[64],8,relu,0.0,0.5495,0.6523,0.4606,119.64
[128],32,relu,7e-06,0.532,0.6495,0.4861,96.44
[32],16,tanh,1.7e-05,0.5507,0.6541,0.4673,98.36
[128],4,relu,0.003579,0.5247,0.6386,0.487,152.38
[128],32,tanh,2.1e-05,0.5388,0.6464,0.4751,195.98
[64],8,tanh,2.9e-05,0.5514,0.6602,0.4715,273.02
[128],4,tanh,0.006047,0.5153,0.6222,0.4612,289.28
"[32, 16]",4,relu,0.017708,0.5304,0.6344,0.4574,184.07
"[32, 16, 8]",4,relu,0.002352,0.5033,0.6198,0.4838,372.09
"[32, 16]",32,relu,4e-06,0.5334,0.6436,0.4734,115.48
"[64, 32]",16,relu,5e-06,0.4978,0.6139,0.4722,156.13
"[128, 64]",8,relu,1.3e-05,0.5465,0.6522,0.4709,189.98
"[32, 16, 8]",32,relu,1.4e-05,0.5332,0.6355,0.453,180.0
"[32, 16]",4,tanh,0.003322,0.5099,0.6232,0.4691,317.77
"[128, 64]",8,tanh,9.9e-05,0.5453,0.6558,0.4835,154.64
"[64, 32]",16,tanh,4.4e-05,0.5563,0.6506,0.4504,108.7
"[32, 16, 8]",4,tanh,0.003968,0.503,0.6168,0.48,253.36
"[32, 16]",32,tanh,4.7e-05,0.5366,0.6462,0.471,168.5
"[32, 16, 8]",32,tanh,6.8e-05,0.5471,0.6599,0.4871,162.78
"[32, 16]",8,relu,4e-06,0.5749,0.6749,0.48,100.64
"[64, 32]",32,relu,4e-06,0.5314,0.6387,0.4705,156.41
"[128, 64]",16,relu,2.7e-05,0.5302,0.6418,0.47,165.55
"[64, 32, 16]",4,relu,0.003708,0.5415,0.6536,0.482,144.51
"[64, 32]",4,relu,0.003514,0.5141,0.6313,0.4813,180.19
"[32, 16]",8,tanh,4.4e-05,0.5414,0.6481,0.4732,125.79
"[32, 16, 8]",8,relu,7e-06,0.5309,0.6395,0.4805,175.67
"[64, 32, 16]",4,tanh,0.002984,0.4981,0.6132,0.4857,290.4
"[128, 64]",16,tanh,6.5e-05,0.5224,0.6362,0.4849,142.9
"[64, 32, 16]",16,relu,4e-06,0.5121,0.6357,0.4903,148.17
"[32, 16, 8]",8,tanh,7e-05,0.5314,0.6401,0.4737,213.85
"[64, 32]",4,tanh,0.003835,0.518,0.6258,0.4591,344.46
"[128, 64, 32]",8,relu,9e-06,0.5817,0.6801,0.4726,271.3
"[32, 16]",16,relu,1e-06,0.5093,0.6233,0.4693,190.95
"[64, 32]",32,tanh,3.1e-05,0.5292,0.6388,0.4764,277.54
"[64, 32]",8,relu,5e-06,0.541,0.6527,0.4775,91.8
"[128, 64, 32]",8,tanh,7.2e-05,0.5408,0.6504,0.4782,197.68
"[64, 32, 16]",16,tanh,6.3e-05,0.5542,0.66,0.4789,142.9
"[32, 16, 8]",16,relu,1.9e-05,0.5306,0.6412,0.4713,92.3
"[64, 32, 16]",8,relu,2e-06,0.5363,0.6429,0.4737,329.37
"[32, 16]",16,tanh,6.4e-05,0.5152,0.629,0.4782,69.73
"[128, 64]",4,relu,0.002402,0.5091,0.624,0.4746,225.24
"[128, 64]",32,relu,3e-06,0.5011,0.624,0.4809,369.62
"[64, 32]",8,tanh,3.1e-05,0.5805,0.6775,0.4697,240.79
"[32, 16, 8]",16,tanh,4.6e-05,0.5404,0.6452,0.4732,210.42
"[128, 64, 32]",16,relu,7.6e-05,0.5564,0.6545,0.463,161.34
"[64, 32, 16]",32,relu,7e-06,0.5384,0.6472,0.4675,123.22
"[128, 64]",4,tanh,0.004032,0.5235,0.6372,0.4859,263.77
"[128, 64]",32,tanh,3.8e-05,0.5481,0.6566,0.4803,223.67
"[64, 32, 16]",8,tanh,2.5e-05,0.4937,0.6196,0.4777,294.23
"[64, 32, 16]",32,tanh,5.6e-05,0.5084,0.6304,0.4914,150.65
"[128, 64, 32]",16,tanh,6.7e-05,0.5141,0.6273,0.4754,214.79
"[128, 64, 32]",4,relu,0.003037,0.5235,0.638,0.4834,172.42
"[128, 64, 32]",32,relu,1.6e-05,0.5263,0.6454,0.4887,239.17
"[128, 64, 32]",4,tanh,0.005369,0.5164,0.6248,0.4622,116.17
"[128, 64, 32]",32,tanh,9.3e-05,0.5433,0.6491,0.4721,222.84
[128],8,relu,5e-06,0.5452,0.6547,0.4817,117.4
[32],32,relu,0.0,0.5359,0.6386,0.4685,168.98
[64],16,relu,1e-06,0.5406,0.6456,0.4691,129.65
[32],4,relu,0.005033,0.5283,0.6382,0.4805,162.27
[64],16,tanh,1.4e-05,0.5567,0.66,0.4739,128.14
[128],8,tanh,2.5e-05,0.5382,0.6487,0.4748,189.66
[32],32,tanh,2.2e-05,0.552,0.6592,0.4716,130.4
[64],32,relu,1e-06,0.5475,0.6532,0.4853,153.48
[32],4,tanh,0.00619,0.5275,0.637,0.4743,265.6
[128],16,relu,9e-06,0.5427,0.6426,0.4515,89.47
[32],8,relu,0.0,0.5304,0.6397,0.4709,125.38
[64],32,tanh,1.1e-05,0.5243,0.6249,0.4504,221.55
[64],4,relu,0.003493,0.5243,0.6307,0.4581,272.8
[32],8,tanh,4.3e-05,0.5388,0.6491,0.4749,106.32
[128],4,relu,0.003431,0.5285,0.6414,0.4742,173.41
[128],16,tanh,1.2e-05,0.5083,0.6229,0.4672,261.34
[64],4,tanh,0.005929,0.5238,0.6361,0.48,252.96
[32],16,relu,0.0,0.5079,0.6244,0.4834,185.79
[64],8,relu,0.0,0.5407,0.6514,0.4759,119.48
