hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[32],4,relu,2e-06,0.5591,0.6659,0.4329,77.59
[128],8,relu,2e-06,0.5696,0.6732,0.4305,96.57
[32],4,tanh,1.8e-05,0.5704,0.6714,0.443,101.26
[32],32,relu,0.0,0.5821,0.6827,0.4411,122.7
[64],16,relu,3e-06,0.5614,0.6688,0.4219,71.3
[32],32,tanh,3e-06,0.5785,0.6802,0.4416,165.2
[128],8,tanh,8e-06,0.5978,0.6921,0.4227,172.8
[32],8,relu,1e-06,0.5821,0.6825,0.4335,68.58
[64],16,tanh,1.5e-05,0.5709,0.6699,0.4221,63.87
[64],4,relu,2e-06,0.5689,0.6716,0.4217,141.27
[32],8,tanh,7e-06,0.6067,0.6977,0.425,129.53
[64],32,relu,1e-06,0.5674,0.6728,0.428,198.37
[128],16,relu,1e-06,0.5728,0.6758,0.4279,220.62
[64],4,tanh,1.7e-05,0.568,0.6695,0.4337,83.64
[64],32,tanh,6e-06,0.5618,0.6672,0.4456,157.91
[32],16,relu,0.0,0.6044,0.6963,0.4196,115.62
[128],16,tanh,9e-06,0.5427,0.6508,0.4242,137.38
[64],8,relu,0.0,0.5551,0.6621,0.4362,110.47
[128],4,relu,3e-06,0.5901,0.6859,0.4378,165.15
[64],8,tanh,6e-06,0.5774,0.6786,0.438,202.45
[128],4,tanh,8e-06,0.5755,0.6758,0.4355,183.55
[128],32,relu,5e-06,0.5657,0.6632,0.4107,126.97
[32],16,tanh,5e-06,0.582,0.6827,0.4367,93.38
[128],32,tanh,8e-06,0.5683,0.6729,0.4358,109.71
"[32, 16]",4,relu,1e-06,0.5285,0.6443,0.4424,243.08
"[32, 16, 8]",4,relu,0.010631,0.5564,0.662,0.4332,190.76
"[32, 16]",32,relu,0.0,0.5606,0.6601,0.4135,245.12
"[32, 16]",4,tanh,1.3e-05,0.5735,0.6762,0.4375,161.33
"[128, 64]",8,relu,1.1e-05,0.6002,0.6934,0.4248,172.3
"[64, 32]",16,relu,3e-06,0.5648,0.6713,0.4363,176.24
"[32, 16, 8]",4,tanh,1.3e-05,0.597,0.6937,0.4359,279.42
"[32, 16]",32,tanh,7e-06,0.5879,0.6855,0.4427,140.13
"[32, 16]",8,relu,2e-06,0.5987,0.6946,0.4307,99.2
"[64, 32]",16,tanh,1.2e-05,0.579,0.6817,0.4363,159.4
"[32, 16, 8]",32,relu,4e-06,0.5711,0.6737,0.4219,148.96
"[128, 64]",8,tanh,1.9e-05,0.5837,0.6819,0.4327,103.59
"[32, 16, 8]",8,relu,8e-06,0.5808,0.6813,0.4465,112.1
"[64, 32]",32,relu,5e-06,0.5612,0.667,0.4454,116.75
"[32, 16]",8,tanh,1.5e-05,0.6059,0.6968,0.4199,132.16
"[32, 16, 8]",32,tanh,2.1e-05,0.569,0.6735,0.4367,126.88
"[64, 32]",4,relu,7e-06,0.5494,0.6562,0.4386,123.72
"[128, 64]",16,relu,1.1e-05,0.585,0.6824,0.4162,164.63
"[64, 32]",32,tanh,9e-06,0.5682,0.6718,0.4368,170.84
"[64, 32]",4,tanh,2.4e-05,0.5797,0.677,0.4223,146.25
"[32, 16, 8]",8,tanh,2.4e-05,0.5936,0.6929,0.4345,146.86
"[64, 32, 16]",4,relu,1.3e-05,0.595,0.691,0.4326,162.77
"[32, 16]",16,relu,2e-06,0.5694,0.6746,0.4369,97.56
"[128, 64]",4,relu,0.010296,0.5171,0.6293,0.424,221.26
"[64, 32, 16]",16,relu,5e-06,0.5966,0.6908,0.4166,119.3
"[64, 32]",8,relu,4e-06,0.5452,0.6565,0.434,125.22
"[128, 64]",16,tanh,6e-06,0.5632,0.6667,0.429,256.94
"[32, 16, 8]",16,relu,2e-06,0.5388,0.6503,0.4286,210.43
"[64, 32, 16]",4,tanh,2.4e-05,0.5811,0.6816,0.4306,224.06
"[128, 64, 32]",8,relu,1.6e-05,0.5816,0.6773,0.4174,165.35
"[128, 64]",4,tanh,3.4e-05,0.5663,0.6686,0.4356,178.94
"[32, 16]",16,tanh,4e-06,0.563,0.6686,0.4377,256.37
"[64, 32, 16]",16,tanh,3e-05,0.5696,0.6692,0.4267,82.98
"[64, 32, 16]",8,relu,7e-06,0.5711,0.6745,0.4368,115.15
"[128, 64, 32]",8,tanh,1.1e-05,0.5824,0.6832,0.4314,376.57
"[32, 16, 8]",16,tanh,1.6e-05,0.5616,0.6676,0.4371,197.78
"[64, 32]",8,tanh,6e-06,0.5817,0.681,0.4271,261.36
"[64, 32, 16]",32,relu,3e-06,0.5632,0.6674,0.4249,242.01
"[64, 32, 16]",8,tanh,3.1e-05,0.5767,0.6729,0.4216,132.82
"[128, 64]",32,relu,3e-06,0.5162,0.6298,0.4251,335.52
"[128, 64, 32]",16,relu,2e-05,0.5587,0.6645,0.4311,153.34
"[64, 32, 16]",32,tanh,1.1e-05,0.5714,0.6734,0.4343,301.91
"[128, 64]",32,tanh,6e-06,0.5545,0.6651,0.4305,317.36
"[128, 64, 32]",16,tanh,2.5e-05,0.5658,0.6717,0.433,189.47
"[128, 64, 32]",4,relu,1.2e-05,0.5765,0.6762,0.432,220.01
"[128, 64, 32]",4,tanh,2e-05,0.4686,0.5853,0.4412,169.18
"[128, 64, 32]",32,relu,2.8e-05,0.5467,0.6563,0.4313,205.75
"[128, 64, 32]",32,tanh,3.2e-05,0.5585,0.6589,0.4213,186.6
[32],32,relu,0.0,0.5758,0.676,0.4283,157.04
[64],16,relu,1e-06,0.5416,0.652,0.4463,114.37
[32],4,relu,0.070774,0.5126,0.6283,0.4253,269.52
[32],32,tanh,7e-06,0.5794,0.6824,0.4472,129.91
[128],8,relu,1e-06,0.5954,0.6908,0.4201,167.21
