hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[128],8,relu,5e-06,0.4237,0.4555,0.2922,12.99
[64],16,relu,6e-06,0.3961,0.4427,0.2956,10.7
[128],8,tanh,0.000483,0.4021,0.449,0.2992,12.22
[64],16,tanh,0.000692,0.3902,0.4363,0.2971,11.98
[128],16,relu,5e-06,0.4007,0.4412,0.2935,14.55
[32],32,relu,4e-06,0.4265,0.4631,0.2878,16.78
[32],4,relu,2e-06,0.4309,0.4664,0.2922,26.33
[64],32,relu,6e-06,0.4073,0.4419,0.2875,7.19
[128],16,tanh,0.000403,0.3822,0.4337,0.295,9.82
[32],32,tanh,0.000454,0.4277,0.4578,0.2895,18.35
[64],32,tanh,0.000316,0.4252,0.4607,0.2885,13.16
[32],4,tanh,0.000356,0.4361,0.4691,0.2945,16.38
[128],4,relu,1.1e-05,0.4102,0.4473,0.2959,9.03
[128],32,relu,4e-06,0.4221,0.4583,0.2888,22.6
[32],8,relu,4e-06,0.3878,0.4435,0.2918,15.05
[64],4,relu,3e-06,0.4542,0.4791,0.2858,24.86
[128],32,tanh,0.000514,0.4038,0.4542,0.2954,12.18
[128],4,tanh,0.00035,0.4579,0.4734,0.2802,18.98
[32],8,tanh,0.000399,0.3804,0.4327,0.2939,13.26
[64],4,tanh,0.000344,0.3945,0.4418,0.2955,16.45
[32],16,relu,3e-06,0.3969,0.4492,0.2892,13.33
[64],8,relu,1.6e-05,0.4068,0.4485,0.2986,8.32
[32],16,tanh,0.00028,0.4021,0.4492,0.2982,20.06
[64],8,tanh,0.000816,0.4537,0.4691,0.2852,10.98
"[32, 16]",4,relu,1.3e-05,0.4314,0.4675,0.292,11.94
"[32, 16]",32,relu,8e-06,0.4262,0.463,0.2914,15.56
"[32, 16]",4,tanh,0.000679,0.3946,0.4475,0.2934,15.87
"[64, 32]",16,relu,1.1e-05,0.3826,0.4318,0.2922,8.56
"[32, 16]",32,tanh,0.000363,0.3959,0.4416,0.2907,18.38
"[64, 32]",16,tanh,0.001043,0.388,0.4383,0.298,10.68
"[128, 64]",8,relu,7e-06,0.4289,0.4578,0.2945,15.67
"[32, 16]",8,relu,4e-06,0.4277,0.4639,0.294,18.59
"[128, 64]",8,tanh,0.000679,0.3875,0.4385,0.2974,14.86
"[64, 32]",32,relu,1e-05,0.4121,0.4564,0.2921,10.54
"[64, 32]",4,relu,1.5e-05,0.4294,0.4659,0.2901,17.72
"[128, 64]",16,relu,1e-05,0.4251,0.4627,0.2966,12.36
"[32, 16]",8,tanh,0.000303,0.4361,0.4668,0.2891,23.47
"[64, 32]",32,tanh,0.000339,0.4381,0.4688,0.2875,16.72
"[64, 32]",4,tanh,0.000525,0.4444,0.4718,0.2914,13.78
"[32, 16]",16,relu,1.2e-05,0.4168,0.4555,0.2942,12.32
"[128, 64]",16,tanh,0.000473,0.3844,0.4306,0.2937,26.53
"[128, 64]",4,relu,5e-06,0.4397,0.4678,0.2889,12.47
"[32, 16]",16,tanh,0.000659,0.3884,0.4396,0.2969,19.15
"[64, 32]",8,relu,6e-06,0.4355,0.4643,0.2913,14.47
"[128, 64]",4,tanh,0.001232,0.457,0.4788,0.285,13.5
"[64, 32]",8,tanh,0.000616,0.4177,0.451,0.2903,13.97
"[128, 64]",32,relu,1e-05,0.3946,0.4339,0.2946,28.65
"[128, 64]",32,tanh,0.000946,0.425,0.4541,0.2846,12.64
"[64, 32, 16]",16,relu,1.6e-05,0.4038,0.4395,0.294,11.55
"[32, 16, 8]",4,relu,1.2e-05,0.4469,0.4782,0.2883,17.41
"[32, 16, 8]",32,relu,7e-06,0.3892,0.4292,0.2867,27.52
"[64, 32, 16]",16,tanh,0.000739,0.3903,0.4325,0.293,18.21
"[128, 64, 32]",8,relu,7e-06,0.3875,0.4271,0.2967,12.61
"[32, 16, 8]",4,tanh,0.000652,0.3994,0.4474,0.2942,17.32
"[128, 64, 32]",8,tanh,0.001023,0.4125,0.4464,0.2967,12.31
"[64, 32, 16]",32,relu,8e-06,0.4069,0.4457,0.2913,16.67
"[32, 16, 8]",32,tanh,0.000166,0.4124,0.4543,0.3,35.15
"[32, 16, 8]",8,relu,1.6e-05,0.3793,0.4331,0.2953,15.08
"[128, 64, 32]",16,relu,1.7e-05,0.3943,0.4362,0.2879,8.29
"[64, 32, 16]",4,relu,1.8e-05,0.4038,0.4528,0.2952,12.08
"[64, 32, 16]",32,tanh,0.000925,0.4266,0.4671,0.2896,18.2
"[128, 64, 32]",16,tanh,0.000773,0.4011,0.444,0.2928,16.07
"[32, 16, 8]",8,tanh,0.000718,0.3977,0.444,0.2952,21.06
"[64, 32, 16]",4,tanh,0.000536,0.396,0.448,0.2952,14.89
"[128, 64, 32]",4,relu,1e-05,0.4263,0.4674,0.2916,8.75
"[32, 16, 8]",16,relu,2.5e-05,0.3965,0.4435,0.2948,12.68
"[64, 32, 16]",8,relu,5e-05,0.404,0.4449,0.2876,8.04
"[128, 64, 32]",4,tanh,0.001836,0.398,0.4492,0.3015,12.2
"[128, 64, 32]",32,relu,1.3e-05,0.4226,0.4562,0.2959,16.55
"[32, 16, 8]",16,tanh,0.000366,0.4015,0.4478,0.2926,25.86
"[128, 64, 32]",32,tanh,0.000646,0.4028,0.4481,0.2925,20.08
"[64, 32, 16]",8,tanh,0.000809,0.3833,0.4291,0.292,27.74
