hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[32],32,relu,1.3e-05,0.5641,0.6509,0.3613,78.2
[32],4,relu,4e-06,0.9003,0.8531,0.3333,97.06
[64],16,relu,4e-05,0.8995,0.8527,0.3331,55.77
[32],32,tanh,0.00012,0.9003,0.8531,0.3333,155.07
[32],4,tanh,0.000122,0.9003,0.8531,0.3333,150.89
[64],16,tanh,0.000197,0.9003,0.8531,0.3333,75.92
[64],4,relu,4e-06,0.9003,0.8531,0.3333,139.76
[64],32,relu,3.4e-05,0.6203,0.6961,0.3638,112.78
[32],8,relu,0.0,0.9003,0.8531,0.3333,203.54
[64],4,tanh,0.000997,0.9003,0.8531,0.3333,57.11
[128],8,relu,3.9e-05,0.6364,0.7084,0.367,97.7
[32],8,tanh,0.000126,0.9003,0.8531,0.3333,91.92
[64],32,tanh,0.00047,0.9003,0.8531,0.3333,70.47
[64],8,relu,3e-06,0.9003,0.8531,0.3333,121.33
[128],8,tanh,0.000193,0.9003,0.8531,0.3333,135.89
[32],16,relu,2.3e-05,0.9003,0.8531,0.3333,94.5
[64],8,tanh,0.000163,0.9003,0.8531,0.3333,98.59
[128],4,relu,6e-06,0.9003,0.8531,0.3333,134.78
[128],16,relu,3.1e-05,0.6716,0.7413,0.3675,115.85
[32],16,tanh,8.5e-05,0.9003,0.8531,0.3333,120.87
[128],4,tanh,0.000311,0.9003,0.8531,0.3333,108.75
[128],16,tanh,0.000522,0.9003,0.8531,0.3333,69.16
[128],32,relu,5.8e-05,0.489,0.5827,0.3711,60.39
[128],32,tanh,0.000314,0.9003,0.8531,0.3333,89.44
"[32, 16]",4,relu,3.3e-05,0.9003,0.8531,0.3333,195.58
"[64, 32]",16,relu,5.3e-05,0.6946,0.7507,0.3668,113.61
"[32, 16, 8]",4,relu,1.3e-05,0.9003,0.8531,0.3333,97.91
"[32, 16]",32,relu,6.6e-05,0.9003,0.8531,0.3333,104.9
"[32, 16]",4,tanh,9.7e-05,0.9003,0.8531,0.3333,193.83
"[64, 32]",16,tanh,0.000494,0.9003,0.8531,0.3333,177.77
"[32, 16]",8,relu,2.5e-05,0.9003,0.8531,0.3333,81.2
"[32, 16]",32,tanh,0.000112,0.7945,0.8115,0.3559,88.51
"[32, 16, 8]",4,tanh,0.000128,0.9003,0.8531,0.3333,188.78
"[64, 32]",32,relu,5.5e-05,0.9003,0.8531,0.3333,74.72
"[32, 16, 8]",32,relu,8.1e-05,0.651,0.7193,0.372,89.67
"[64, 32]",4,relu,5.1e-05,0.9003,0.8531,0.3333,92.96
"[32, 16]",8,tanh,0.000163,0.9003,0.8531,0.3333,100.03
"[32, 16, 8]",8,relu,0.001266,0.9003,0.8531,0.3333,83.4
"[64, 32]",32,tanh,0.000539,0.9003,0.8531,0.3333,114.15
"[32, 16, 8]",32,tanh,0.000326,0.9003,0.8531,0.3333,128.19
"[64, 32]",4,tanh,0.000339,0.9003,0.8531,0.3333,116.34
"[32, 16]",16,relu,3.7e-05,0.9003,0.8531,0.3333,108.54
"[32, 16, 8]",8,tanh,0.000157,0.9003,0.8531,0.3333,145.62
"[128, 64]",4,relu,1.7e-05,0.9003,0.8531,0.3333,89.46
"[64, 32]",8,relu,3.9e-05,0.9003,0.8531,0.3333,83.77
"[128, 64]",4,tanh,0.000186,0.9003,0.8531,0.3333,148.95
"[32, 16]",16,tanh,0.000111,0.9003,0.8531,0.3333,120.41
"[64, 32, 16]",4,relu,0.000113,0.9003,0.8531,0.3333,91.0
"[32, 16, 8]",16,relu,6e-06,0.9003,0.8531,0.3333,278.16
"[64, 32]",8,tanh,0.000911,0.9003,0.8531,0.3333,157.12
"[128, 64]",8,relu,0.000263,0.9003,0.8531,0.3333,100.74
"[64, 32, 16]",4,tanh,0.000369,0.9003,0.8531,0.3333,234.06
"[32, 16, 8]",16,tanh,0.000267,0.9003,0.8531,0.3333,90.57
"[128, 64]",8,tanh,0.000697,0.9003,0.8531,0.3333,202.47
"[64, 32, 16]",8,relu,3.9e-05,0.9003,0.8531,0.3333,69.75
"[64, 32, 16]",16,relu,0.00026,0.9003,0.8531,0.3333,153.27
"[128, 64]",16,relu,8.2e-05,0.9003,0.8531,0.3333,66.52
"[64, 32, 16]",8,tanh,0.000226,0.9003,0.8531,0.3333,227.69
