Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions
8/28/2022 1:39:02,19,I do 0.0t use a streaming service.,5,1.0,0.0,0.0,R&B,1.0,1.0,118,1.0,1.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6,7,5,4,2.0,I understand.
8/28/2022 3:19:08,18,Spotify,2,1.0,0.0,0.0,Pop,0.0,1.0,79,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3,3,8,6,1.0,I understand.
8/28/2022 4:13:11,16,Other streaming service,3,1.0,1.0,1.0,Rock,1.0,1.0,84,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,10,6,8,10,2.0,I understand.
8/28/2022 4:38:14,18,Spotify,2,0.0,0.0,0.0,Pop,1.0,1.0,169,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,7,4,2,5,2.0,I understand.
8/28/2022 4:40:36,14,Spotify,12,1.0,1.0,1.0,Rock,1.0,1.0,136,2.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,8,6,10,5,2.0,I understand.
8/28/2022 5:05:51,18,YouTube Music,6,1.0,1.0,1.0,Pop,0.0,1.0,101,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,3,2,1,2,2.0,I understand.
8/28/2022 5:16:30,17,Spotify,2,1.0,1.0,0.0,Pop,1.0,1.0,126,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,6,6,4,5,2.0,I understand.
8/28/2022 8:36:27,17,Apple Music,1,1.0,0.0,0.0,Pop,1.0,0.0,183,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,8,2,1,5,2.0,I understand.
8/28/2022 10:30:22,20,Apple Music,5,1.0,1.0,0.0,Rock,1.0,1.0,,0.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,7,7,2,0,2.0,I understand.
8/28/2022 10:38:05,19,Spotify,2,1.0,0.0,0.0,Classical,0.0,0.0,120,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,4,4,4,3,1.0,I understand.
